TEMP_ID,SEX,DEPARTMENT,TCAS ROUND,FIRST_GPA,SECOND_GPA,GPAX,COMP_PROG_REG_SEM,COMP_PROG_GRADE,COMP_PROG_ATMPT,EXPLORE_ENG_GRADE,EXPLORE_ENG_ATMPT,ENG_MATERIAL_GRADE,ENG_MATERIAL_ATMPT,GEN_CHEM_GRADE,GEN_CHEM_ATMPT,GEN_CHEMLAB_GRADE,GEN_CHEMLAB_ATMPT,ENG_DRAWING_GRADE,ENG_DRAWING_ATMPT
A048,M,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,3.92,3.59,3.76,1,A,1,A,1,B+,1,A,1,B,1,A,1
A049,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.53,3.53,3.53,1,B+,1,A,1,A,1,B,1,B+,1,A,1
A050,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.59,1.97,2.17,1,D,2,A,1,C+,1,C,1,B,1,D+,1
A051,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,2.97,2.56,2.78,1,C,1,A,1,B,1,B,1,B+,1,D,1
A052,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.26,2.12,2.33,1,C,1,A,1,D+,1,D+,1,C,1,C+,1
A053,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.24,3.12,3.18,1,D+,1,A,1,B,1,C+,1,B+,1,C+,1
A054,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.09,2.24,2.71,1,A,1,A,1,B,1,C,1,C,1,C,1
A055,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.61,2.15,2.39,1,C,1,A,1,C+,1,C,1,B,1,D+,1
A056,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.82,2.88,3.01,1,D+,1,A,1,B+,1,B,1,B,1,A,1
A057,F,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.61,3.53,3.57,1,A,1,A,1,B+,1,B+,1,B+,1,A,1
A058,M,ภาควิชาวิศวกรรมเหมืองแร่และปิโตรเลียม,TCAS3 Admissions,3.18,2.44,2.83,1,B,1,A,1,B,1,C,1,B+,1,D,1
A059,M,ไม่สังกัดภาควิชา/เทียบเท่า,TCAS3 Admissions,1.38,0.00,0.00,1,W,1,B,1,F,1,M,1,F,1,M,1
A060,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.29,2.85,3.08,1,C+,1,A,1,B+,1,B,1,A,1,B+,1
A061,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.37,3.29,3.33,1,B+,1,A,1,B+,1,B,1,A,1,B,1
A062,F,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,2.97,2.97,2.97,1,C,1,A,1,B,1,B,1,B+,1,C+,1
A063,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,2.89,2.59,2.75,1,C+,1,A,1,B,1,C,1,B,1,D,1
A064,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.10,1.88,1.98,1,D+,1,,,C,1,D+,1,B,1,D+,1
A065,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,2.95,2.82,2.89,1,C+,1,A,1,C+,1,C,1,B,1,B+,1
A066,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.79,2.53,2.67,1,C+,1,A,1,B,1,C,1,B+,1,C+,1
A067,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.13,2.50,3.00,1,D+,1,A,1,B,1,C+,1,B,1,C,1
A068,F,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.21,2.94,3.08,1,C,1,A,1,B,1,C+,1,A,1,C+,1
A069,M,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,3.53,3.24,3.39,1,A,1,A,1,B+,1,B,1,B+,1,A,1
A070,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.76,3.82,3.79,1,A,1,A,1,A,1,A,1,A,1,A,1
A071,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.39,1.94,2.15,1,C,1,A,1,D,1,C,1,A,1,C,1
A072,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.58,2.32,2.64,1,D,1,A,1,C,1,D+,1,B,1,C,1
A073,M,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,3.92,3.76,3.85,1,A,1,A,1,B+,1,B+,1,B+,1,A,1
A074,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.71,2.15,2.44,1,C,1,A,1,C+,1,C,1,B,1,B,1
A075,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.21,3.29,3.25,1,A,1,B,1,A,1,C+,1,A,1,B+,1
A076,F,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.29,2.88,3.10,1,A,1,A,1,B,1,C+,1,B,1,B+,1
A077,F,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.21,3.32,3.26,1,C,1,A,1,B+,1,C+,1,B,1,A,1
A078,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.44,2.91,3.18,1,C+,2,A,1,B,1,C+,1,B+,1,C+,1
A079,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.72,2.85,3.27,1,W,1,A,1,B,1,B,1,B,1,D,1
A080,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.18,3.26,3.22,1,A,1,A,1,B,1,B,1,B+,1,A,1
